序号	code	name
978	300461	田中精机
979	601106	中国一重
980	603566	普莱柯
981	002598	山东章鼓
982	001696	宗申动力
983	603001	奥康国际
984	300239	东宝生物
985	000789	万年青
986	000948	南天信息
987	002039	黔源电力
988	601566	九牧王
989	000967	盈峰环境
990	000728	国元证券
991	000768	中航飞机
992	300179	四方达
993	000878	云南铜业
994	000858	五 粮 液
995	600150	中国船舶
996	603168	莎普爱思
997	000005	世纪星源
998	000050	深天马Ａ
999	300105	龙源技术
1000	600516	方大炭素
1001	000695	滨海能源
1002	601718	际华集团
1003	600356	恒丰纸业
1004	002563	森马服饰
1005	300137	先河环保
1006	300191	潜能恒信
1007	300231	银信科技
1008	601377	兴业证券
1009	002453	天马精化
1010	002028	思源电气
1011	600880	博瑞传播
1012	002320	海峡股份
1013	600967	北方创业
1014	600704	物产中大
1015	002092	中泰化学
1016	600593	大连圣亚
1017	600203	福日电子
1018	002274	华昌化工
1019	600847	万里股份
1020	300241	瑞丰光电
1021	002095	生 意 宝
1022	000738	中航动控
1023	600982	宁波热电
1024	300215	电科院
1025	000400	许继电气
1026	002700	新疆浩源
1027	002586	围海股份
1028	000060	中金岭南
1029	300237	美晨科技
1030	002472	双环传动
1031	300415	伊之密
1032	300012	华测检测
1033	300286	安科瑞
1034	000837	秦川机床
1035	002017	东信和平
1036	002423	*ST中特
1037	002325	洪涛股份
1038	300315	掌趣科技
1039	603088	宁波精达
1040	002499	科林环保
1041	000993	闽东电力
1042	600798	宁波海运
1043	000428	华天酒店
1044	002080	中材科技
1045	002271	东方雨虹
1046	000716	黑芝麻
1047	000572	海马汽车
1048	603861	白云电器
1049	600686	金龙汽车
1050	601678	滨化股份
1051	600801	华新水泥
1052	002011	盾安环境
1053	603567	珍宝岛
1054	002718	友邦吊顶
1055	000607	华媒控股
1056	002073	软控股份
1057	000687	华讯方舟
1058	300303	聚飞光电
1059	300402	宝色股份
1060	600499	科达洁能
1061	603718	海利生物
1062	603999	读者传媒
1063	000659	珠海中富
1064	002009	天奇股份
1065	600657	信达地产
1066	300091	金通灵
1067	000705	浙江震元
1068	002725	跃岭股份
1069	600480	凌云股份
1070	000156	华数传媒
1071	300117	嘉寓股份
1072	300196	长海股份
1073	300317	珈伟股份
1074	600084	中葡股份
1075	300482	万孚生物
1076	600161	天坛生物
1077	000548	湖南投资
1078	300442	普丽盛
1079	600601	方正科技
1080	601177	杭齿前进
1081	600537	亿晶光电
1082	300337	银邦股份
1083	300385	雪浪环境
1084	601788	光大证券
1085	300281	金明精机
1086	600189	吉林森工
1087	600767	运盛医疗
1088	002527	新时达
1089	300229	拓尔思
1090	603017	中衡设计
1091	600300	维维股份
1092	600735	新华锦
1093	000848	承德露露
1094	002471	中超控股
1095	002751	易尚展示
1096	300294	博雅生物
1097	600781	辅仁药业
1098	002410	广联达
1099	300192	科斯伍德
1100	600361	华联综超
1101	000417	合肥百货
1102	002105	信隆实业
1103	600747	大连控股
1104	600620	天宸股份
1105	002634	棒杰股份
1106	600360	华微电子
1107	603885	吉祥航空
1108	600628	新世界
1109	000589	黔轮胎Ａ
1110	002406	远东传动
1111	002103	广博股份
1112	000551	创元科技
